,aff_id,aff_name,country
0,0010A9BE,american association of school administrators,United States
1,001E3D1D,national trust for scotland,United Kingdom
2,003EB1CB,mathematical institute university of oxford,United Kingdom
3,0040BAC6,de la salle college of saint benilde,
4,0041F649,mahanakorn university of technology,Thailand
5,004658F4,xiangtan university,China
6,0052BF56,shanxi datong university,China
7,0052D95A,fitchburg state university,United States
8,0058C126,national institute of design,India
9,005D40FA,swiss seismological service,
10,0075B8D5,royal academy of music,United Kingdom
11,00784876,university of glasgow,United Kingdom
12,0086CB8F,university of leon,Spain
13,0088BF3F,national autonomous university of mexico,Mexico
14,0094744E,salem international university,United States
15,00ADB1D9,universidad del salvador,Argentina
16,00B7F9CE,university of toledo medical center,United States
17,00B993D1,unitedhealth group,United States
18,00BBDD54,eugene applebaum college of pharmacy and health sciences,United States
19,00E52D96,southcentral foundation,United States
20,00F5CE5B,scientific atlanta,
21,00F9046C,indira gandhi institute of development research,India
22,01038E08,telecom lille 1,
23,01165906,lake erie college of osteopathic medicine,United States
24,013AAC12,forrester research,
25,013CF852,washington university school of medicine,United States
26,013EE2F2,govindammal aditanar college for women,
27,01491ED1,transform drug policy foundation,
28,015E4825,national institute of advanced studies,Philippines
29,01658749,jin ai university,
30,01682BF6,institute of robotics and intelligent systems,
31,01739E09,university of buenos aires,Argentina
32,0175AA3E,university of north carolina school of law,United States
33,01814DEA,yuanpei university,Taiwan
34,0197CDFB,shimizu corporation,
35,01A3969A,florida department of environmental regulation,United States
36,01A7E6BE,university of copenhagen faculty of science,
37,01AB8D36,national institute for higher education,Morocco
38,01ADABAC,guidant,
39,01AEE1BB,bayer materialscience,
40,01BD4721,maine maritime academy,United States
41,01C39949,quinnipiac university school of law,
42,01C4E3DD,morgridge institute for research,
43,01C9DE2B,compas,United States
44,01CA26E6,manchester business school,United Kingdom
45,01CE3161,national institute of fitness and sports in kanoya,Japan
46,01F08433,mars hill university,United States
47,02154B53,university of jinan,China
48,02311B60,ocean county college,United States
49,023EE88A,pontifical lateran university,Italy
50,0261D2D8,kettering university,United States
51,0264929B,criswell college,United States
52,026EC21E,goddard college,United States
53,027B5DD3,association of research libraries,United States
54,028AFF93,college of advanced technology,
55,028E8644,nicta,
56,02969B64,sadat academy for management sciences,Egypt
57,02A18EAB,wyss institute for biologically inspired engineering,
58,02B3AA76,taylors university,
59,02D05B73,nicholls state university,United States
60,02D33774,mitchell madison group,
61,02DA2F58,misr international university,Egypt
62,02EC2698,hokkaido electric power company,Japan
63,02F2B953,university of washington school of nursing,United States
64,0313720F,maharashtra academy of engineering,India
65,03137FFB,bengal institute of technology kolkata,
66,03289F11,university of provence,
67,03322635,wheaton college,United States
68,03454FB4,mountain quest institute,
69,03496C27,university of turin,Italy
70,0349EE07,university of california,United States
71,03512020,instituto superior de engenharia de lisboa,Portugal
72,03515203,rock valley college,United States
73,0354B0DA,eisai,United States
74,0361FC15,bifrost university,
75,03642E7E,james cook university school of medicine and dentistry,Australia
76,03663713,oxford biomedica,United States
77,03815072,co operative medical college,
78,0383CA85,b m s institute of technology,
79,03AA076C,arup laboratories,
80,03B6E8D4,national university of entre rios,
81,03C4B0B4,new jersey medical school,Jersey
82,03C64E81,gulf university,Bahrain
83,03C97137,general atomics,United States
84,03CA3F26,oulu university of applied sciences,Finland
85,03DCFA51,southern california gas company,United States
86,03DF05C9,kanazawa gakuin university,Japan
87,03F01FBB,genome institute of singapore,Singapore
88,03F22377,naresuan university,Thailand
89,04181853,kaplan university,
90,043D4F69,vishwakarma institute of technology,
91,04425056,dynamics research corporation,
92,04505D6E,osaka institute of technology,Japan
93,04537D12,ingersoll rand,United States
94,0455988B,jawaharlal nehru national college of engineering,India
95,04594FBA,institute of pacific relations,
96,046D5140,alcon,United States
97,04730C57,rajarata university of sri lanka,Sri Lanka
98,0476A7C7,sharda university,India
99,0478D4F8,university of tennessee,United States
100,0483A1C4,the national center on addiction and substance abuse at columbia university,United States
101,0491C484,federal university of technology minna,Nigeria
102,04A4AD9F,mf norwegian school of theology,Norway
103,04AC321F,sabre airline solutions,
104,04C0C184,university of pecs,Hungary
105,04C228EA,pomeranian medical university,Poland
106,04D5F3A9,webster university thailand,Thailand
107,04FB543C,szechenyi istvan university,
108,05018A44,shizuoka university of art and culture,Japan
109,05069CB0,luxspace,
110,05073CA8,college of saint benedict,United States
111,0507A7A3,isrec,
112,050898CC,aarhus university business and social sciences,
113,050C8BCF,rmit school of aerospace mechanical and manufacturing engineering,
114,050F3ADA,newcastle university,United Kingdom
115,05189899,institute for cancer prevention,United States
116,051B787F,university of west hungary,Hungary
117,052CDF3C,jss medical college,India
118,05406F50,the school for field studies,
119,0546A62B,haskell indian nations university,United States
120,0559FE26,european and mediterranean plant protection organization,France
121,055AD976,darling downs institute of advanced education,
122,0567A330,university of colombo,Sri Lanka
123,0567E144,maryvale institute,
124,0569A925,world heart federation,
125,056A2A0B,university of franche comte,
126,057B3BB5,pharmaceuticals and medical devices agency,
127,0584A892,walter sisulu university,South Africa
128,05851A53,metropolitan college of new york,United States
129,058DBA4E,applied energetics inc,
130,05A26991,kochi gakuen college,Japan
131,05A55A03,university of jyvaskyla,
132,05A8C16F,cancer council australia,Australia
133,05BF2DCA,university of defence,Serbia
134,05C31D4B,technical university of denmark,Denmark
135,05C33764,chuo university,Japan
136,05C90A8A,university of maryland university college,United States
137,05E27B50,university of new zealand,New Zealand
138,05E62B4E,a m jain college,
139,05F108EF,university of minho,Portugal
140,060117EE,faridpur medical college,
141,06184832,university of kirkuk,Iraq
142,062055FA,chittagong university of engineering technology,
143,062315BB,green college university of british columbia,United States
144,062BB562,emmanuel college toronto,Canada
145,063873A4,universidad autonoma gabriel rene moreno,
146,06430988,perm state university,Russia
147,0644CC82,oxford internet institute,United Kingdom
148,06581C77,gradiant galician research and development center in advanced telecommunications,
149,065E464D,mother teresa women s university,
150,06708C71,faculty of biotechnology,
151,067DCB98,tishreen university,Syria
152,0681697E,bavarian academy of sciences and humanities,Germany
153,0683CD9C,pasadena city college,United States
154,068DE794,bidhan chandra krishi viswavidyalaya,India
155,06960A4A,southern utah university,United States
156,06A2C2A9,western theological seminary,United States
157,06ADB984,bg group,United Kingdom
158,06BDA556,central bank of cyprus,Cyprus
159,06CABB1E,virginia western community college,United States
160,06CAE655,university of kansas school of medicine,United States
161,06DC516E,australian national university library,Australia
162,06F31E82,university of new mexico school of law,Mexico
163,06F34272,st mary s hospital medical school,
164,06F74D84,alliance to save energy,
165,06FE6D0D,naval facilities engineering service center,
166,06FF1982,thiruvalluvar university,India
167,070DED1B,depaul university,United States
168,070E165D,ecole nationale superieure de physique de strasbourg,
169,071646B5,hypertherm,Norway
170,0717DEEE,silesian university of technology,Poland
171,0718ABA6,al qasemi academic college of education,
172,071BF986,central south university forestry and technology,
173,0740DC67,beihua university,China
174,07464868,rungta college of engineering and technology,
175,0796DEFF,university of mississippi school of law,United States
176,07A8F9CA,toko university,Taiwan
177,07A9D399,washington university school of law,United States
178,07C99E06,creative technology,United States
179,07DC158C,mie prefectural college of nursing,Japan
180,07E90276,university of minnesota rochester,United States
181,081C015C,robert h smith school of business,
182,08233A8D,butler community college,United States
183,084B2A3E,raytheon missile systems,
184,085CB521,shumei university,Japan
185,086E4B50,ton duc thang university,Vietnam
186,0875B1B7,zhuzhou csr times electric co ltd,
187,087EC670,los angeles southwest college,United States
