abbr,continent,country
CMR,Africa,Cameroon
BEN,Africa,Benin
MDG,Africa,Madagascar
RWA,Africa,Rwanda
SYC,Africa,Seychelles
CIV,Africa,Cote d'lvoir
EGY,Africa,Egypt
MUS,Africa,Mauritius
BFA,Africa,Burkina Faso
ERI,Africa,Eritrea
STP,Africa,Sao Tome & Principe
AGO,Africa,Angola
LBY,Africa,Libyan Arab Jm
,Africa,Ceuta
ZWE,Africa,Zimbabwe
GIN,Africa,Guinea
SLE,Africa,Sierra Leone
REU,Africa,Reunion
GAB,Africa,Gabon
GHA,Africa,Ghana
TZA,Africa,Tanzania
MLI,Africa,Mali
SOM,Africa,Somalia
MRT,Africa,Mauritania
UGA,Africa,Uganda
TCD,Africa,Chad
MYT,Africa,Mayotte
COM,Africa,Comoros
BWA,Africa,Botswana
SEN,Africa,Senegal
SWZ,Africa,Swaziland
GNB,Africa,Guinea Bissau
CAF,Africa,Central African Rep.
LSO,Africa,Lesotho
COG,Africa,Congo
ZAF,Africa,South Africa
LBR,Africa,Liberia
TUN,Africa,Tunisia
ZMB,Africa,Zambia
NER,Africa,Niger
ESH,Africa,Western Sahara
TGO,Africa,Togo
NAM,Africa,Namibia
MOZ,Africa,Mozambique
,Africa,Melilla
ETH,Africa,Ethiopia
MAR,Africa,Morocco
MWI,Africa,Malawi
NGA,Africa,Nigeria
CPV,Africa,Cape Verde
BDI,Africa,Burundi
DZA,Africa,Algeria
DJI,Africa,Djibouti
,Africa,Canary Is
GMB,Africa,Gambia
GNQ,Africa,Eq.Guinea
SDN,Africa,Sudan
KEN,Africa,Kenya
SGP,Asia,Singapore
KOR,Asia,Korea Rep.
SYR,Asia,Syrian
UZB,Asia,Uzbekistan
BHR,Asia,Bahrain
JPN,Asia,Japan
JOR,Asia,Jordan
VNM,Asia,Vietnam
KGZ,Asia,Kirghizia
THA,Asia,Thailand
LKA,Asia,Sri Lanka
ARE,Asia,United Arab Emirates
LAO,Asia,Laos
AFG,Asia,Afghanistan
MAC,Asia,Macau
TJK,Asia,Tadzhikistan
PRK,Asia,Korea
PAL,Asia,Palestine
HKG,Asia,Hong Kong
IRQ,Asia,Iraq
LBN,Asia,Lebanon
KWT,Asia,Kuwait
BRN,Asia,Brunei
MDV,Asia,Maldives
IDN,Asia,Indonesia
ISR,Asia,Israel
MNG,Asia,Mongolia
OMN,Asia,Oman
IND,Asia,India
MMR,Asia,Myanmar
MYS,Asia,Malaysia
TMP,Asia,East Timor
YEM,Asia,Republic of Yemen
BTN,Asia,Bhutan
KHM,Asia,Cambodia
PAK,Asia,Pakistan
BGD,Asia,Bangladesh
SAU,Asia,Saudi Arabia
TKM,Asia,Turkmenistan
QAT,Asia,Qatar
NPL,Asia,Nepal
KAZ,Asia,Kazakhstan
PHL,Asia,Philippines
TWN,Asia,Taiwan
CHN,CHINA,China
IRN,Asia,Iran
CRI,Central America,Costa Rica
CUB,Central America,Cuba
DOM,Central America,Dominican Rep.
MEX,Central America,Mexico
NIC,Central America,Nicaragua
PAN,Central America,Panama
ANT,Central America,the Netherlands Antilles
SLV,Central America,El Salvador
BVI,Central America,VIRGIN IS
PTR,Central America,Puerto Rico
,Central America,VIRGIN IS
,Central America,ANGUILLA
,Central America,ST. LUCIA
VAG,Central America,ST. VINCENT AND THE GRENADINES
,Central America,NETHERLANDS ANTILLES
GLP,Central America,Guadeloupe
HND,Central America,Honduras
GTM,Central America,Guatemala
GEO,Europe,Georgia
ARM,Europe,Armenia
AZE,Europe,Azerbaijan
BLR,Europe,Byelorussia
RUS,Europe,Russia
UKR,Europe,Ukraine
HUN,Europe,Hungary
ISL,Europe,Iceland
MLT,Europe,Malta
MCO,Europe,Monaco
NOR,Europe,Norway
ROM,Europe,Romania
SMR,Europe,San Marino
SWE,Europe,Sweden
CHE,Europe,Switzerland
EST,Europe,Estonia
LVA,Europe,Latvia
LTU,Europe,Lithuania
MDA,Europe,Moldavia
TUR,Europe,Turkey
SVN,Europe,Slovenia
CZE,Europe,Czech
SVK,Europe,Slovak
MKD,Europe,Macedonia
BIH,Europe,Bosnia
VAT,Europe,Vatican
NLD,Europe,Netherland
NLD,Europe,Netherlands
HRV,Europe,Croatia
GRC,Europe,Greece
IRL,Europe,Ireland
BEL,Europe,Belgium
CYP,Europe,Cyprus
DNK,Europe,Denmark
ENG,UK,scotland
ENG,UK,U.K
ENG,UK,England
ENG,UK,UK
ENG,UK,United Kingdom
