缩写,洲/地区,国家中文名,国家英文名,
CMR,Africa,喀麦隆,Cameroon,
BEN,Africa,贝宁,Benin,
MDG,Africa,马达加斯加,Madagascar,
RWA,Africa,卢旺达,Rwanda,
SYC,Africa,塞舌尔,Seychelles,
CIV,Africa,科特迪瓦,Cote d'lvoir,
EGY,Africa,埃及,Egypt,
MUS,Africa,毛里求斯,Mauritius,
BFA,Africa,布基纳法索,Burkina Faso,
ERI,Africa,厄立特里亚,Eritrea,
STP,Africa,圣多美和普林西比,Sao Tome & Principe,
AGO,Africa,安哥拉,Angola,
LBY,Africa,利比亚,Libyan Arab Jm,
,Africa,非洲其他国家(地区),Oth. Afr. nes,
,Africa,塞卜泰,Ceuta,
ZWE,Africa,津巴布韦,Zimbabwe,
GIN,Africa,几内亚,Guinea,
SLE,Africa,塞拉利昂,Sierra Leone,
REU,Africa,留尼汪,Reunion,
GAB,Africa,加蓬,Gabon,
GHA,Africa,加纳,Ghana,
TZA,Africa,坦桑尼亚,Tanzania,
MLI,Africa,马里,Mali,
SOM,Africa,索马里,Somalia,
MRT,Africa,毛里塔尼亚,Mauritania,
UGA,Africa,乌干达,Uganda,
TCD,Africa,乍得,Chad,
MYT,Africa,马约特岛,Mayotte,
COM,Africa,科摩罗,Comoros,
BWA,Africa,博茨瓦那,Botswana,
SEN,Africa,塞内加尔,Senegal,
SWZ,Africa,斯威士兰,Swaziland,
GNB,Africa,几内亚(比绍),Guinea Bissau,
,Africa,民主刚果,"Congo,DR",
CAF,Africa,中非共和国,Central African Rep.,
LSO,Africa,莱索托,Lesotho,
COG,Africa,刚果,Congo,
ZAF,Africa,南非,South Africa,
LBR,Africa,利比里亚,Liberia,
TUN,Africa,突尼斯,Tunisia,
ZMB,Africa,赞比亚,Zambia,
NER,Africa,尼日尔,Niger,
ESH,Africa,西撒哈拉,Western Sahara,
TGO,Africa,多哥,Togo,
NAM,Africa,纳米比亚,Namibia,
MOZ,Africa,莫桑比克,Mozambique,
,Africa,梅利利亚,Melilla,
ETH,Africa,埃塞俄比亚,Ethiopia,
MAR,Africa,摩洛哥,Morocco,
MWI,Africa,马拉维,Malawi,
NGA,Africa,尼日利亚,Nigeria,
CPV,Africa,佛得角,Cape Verde,
BDI,Africa,布隆迪,Burundi,
