aff_id,aff_name,country
0010A9BE,american association of school administrators,United States
001E3D1D,national trust for scotland,United Kingdom
003EB1CB,mathematical institute university of oxford,United Kingdom
0040BAC6,de la salle college of saint benilde,
0041F649,mahanakorn university of technology,Thailand
004658F4,xiangtan university,China
0052BF56,shanxi datong university,China
0052D95A,fitchburg state university,United States
0058C126,national institute of design,India
005D40FA,swiss seismological service,
0075B8D5,royal academy of music,United Kingdom
00784876,university of glasgow,United Kingdom
0086CB8F,university of leon,Spain
0088BF3F,national autonomous university of mexico,Mexico
0094744E,salem international university,United States
00ADB1D9,universidad del salvador,Argentina
00B7F9CE,university of toledo medical center,United States
00B993D1,unitedhealth group,United States
00BBDD54,eugene applebaum college of pharmacy and health sciences,United States
00E52D96,southcentral foundation,United States
00F5CE5B,scientific atlanta,
00F9046C,indira gandhi institute of development research,India
01038E08,telecom lille 1,
01165906,lake erie college of osteopathic medicine,United States
013AAC12,forrester research,
013CF852,washington university school of medicine,United States
013EE2F2,govindammal aditanar college for women,
01491ED1,transform drug policy foundation,
015E4825,national institute of advanced studies,Philippines
01658749,jin ai university,
01682BF6,institute of robotics and intelligent systems,
01739E09,university of buenos aires,Argentina
0175AA3E,university of north carolina school of law,United States
01814DEA,yuanpei university,Taiwan
0197CDFB,shimizu corporation,
01A3969A,florida department of environmental regulation,United States
01A7E6BE,university of copenhagen faculty of science,
01AB8D36,national institute for higher education,Morocco
01ADABAC,guidant,
01AEE1BB,bayer materialscience,
01BD4721,maine maritime academy,United States
01C39949,quinnipiac university school of law,
01C4E3DD,morgridge institute for research,
01C9DE2B,compas,United States
01CA26E6,manchester business school,United Kingdom
01CE3161,national institute of fitness and sports in kanoya,Japan
01F08433,mars hill university,United States
02154B53,university of jinan,China
02311B60,ocean county college,United States
023EE88A,pontifical lateran university,Italy
0261D2D8,kettering university,United States
0264929B,criswell college,United States
026EC21E,goddard college,United States
027B5DD3,association of research libraries,United States
028AFF93,college of advanced technology,
028E8644,nicta,
02969B64,sadat academy for management sciences,Egypt
02A18EAB,wyss institute for biologically inspired engineering,
02B3AA76,taylors university,
02D05B73,nicholls state university,United States
02D33774,mitchell madison group,
02DA2F58,misr international university,Egypt
02EC2698,hokkaido electric power company,Japan
02F2B953,university of washington school of nursing,United States
0313720F,maharashtra academy of engineering,India
03137FFB,bengal institute of technology kolkata,
03289F11,university of provence,
03322635,wheaton college,United States
03454FB4,mountain quest institute,
03496C27,university of turin,Italy
0349EE07,university of california,United States
03512020,instituto superior de engenharia de lisboa,Portugal
03515203,rock valley college,United States
0354B0DA,eisai,United States
0361FC15,bifrost university,
03642E7E,james cook university school of medicine and dentistry,Australia
03663713,oxford biomedica,United States
03815072,co operative medical college,
0383CA85,b m s institute of technology,
03AA076C,arup laboratories,
03B6E8D4,national university of entre rios,
03C4B0B4,new jersey medical school,Jersey
03C64E81,gulf university,Bahrain
03C97137,general atomics,United States
03CA3F26,oulu university of applied sciences,Finland
03DCFA51,southern california gas company,United States
03DF05C9,kanazawa gakuin university,Japan
03F01FBB,genome institute of singapore,Singapore
03F22377,naresuan university,Thailand
04181853,kaplan university,
043D4F69,vishwakarma institute of technology,
04425056,dynamics research corporation,
04505D6E,osaka institute of technology,Japan
04537D12,ingersoll rand,United States
0455988B,jawaharlal nehru national college of engineering,India
04594FBA,institute of pacific relations,
046D5140,alcon,United States
04730C57,rajarata university of sri lanka,Sri Lanka
0476A7C7,sharda university,India
0478D4F8,university of tennessee,United States
0483A1C4,the national center on addiction and substance abuse at columbia university,United States
0491C484,federal university of technology minna,Nigeria
04A4AD9F,mf norwegian school of theology,Norway
04AC321F,sabre airline solutions,
04C0C184,university of pecs,Hungary
04C228EA,pomeranian medical university,Poland
04D5F3A9,webster university thailand,Thailand
04FB543C,szechenyi istvan university,
05018A44,shizuoka university of art and culture,Japan
05069CB0,luxspace,
05073CA8,college of saint benedict,United States
0507A7A3,isrec,
050898CC,aarhus university business and social sciences,
050C8BCF,rmit school of aerospace mechanical and manufacturing engineering,
050F3ADA,newcastle university,United Kingdom
05189899,institute for cancer prevention,United States
051B787F,university of west hungary,Hungary
052CDF3C,jss medical college,India
05406F50,the school for field studies,
0546A62B,haskell indian nations university,United States
0559FE26,european and mediterranean plant protection organization,France
055AD976,darling downs institute of advanced education,
0567A330,university of colombo,Sri Lanka
0567E144,maryvale institute,
0569A925,world heart federation,
056A2A0B,university of franche comte,
057B3BB5,pharmaceuticals and medical devices agency,
