con_id,con_abbr,con_name,CCF_classification,CCF_category,CORE_classification
42DBFEF6,SWS,Secure Web Services,X,X,C
44815780,WSC,Winter Simulation Conference,X,X,B
44ADC5A3,ADMI,Agents and Data Mining Interaction,X,X,B
44F7644F,ISA,Information Security and Assurance,X,X,C
4527A09C,ISMM,International Symposium on Memory Management,X,X,B
45D14EDE,UbiComp,Ubiquitous Computing,A,9.0,A*
46A3F844,AI,Canadian Conference on Artificial Intelligence,X,X,Australasian
46F865B7,HAIS,Hybrid Artificial Intelligence Systems,X,X,C
4761B00F,NSPW,New Security Paradigms Workshop,C,3.0,C
856D618D,ACC,American Control Conference,X,X,C
42C7B402,WSDM,Web Search and Data Mining,C,5.0,A*
4326CCD6,ESANN,The European Symposium on Artificial Neural Networks,X,X,B
4372B502,ICMI,International Conference on Multimodal Interfaces,C,9.0,B
43A23F32,SECON,"Sensor, Mesh and Ad Hoc Communications and Networks",B,2.0,B
43A585B4,ISPDC,International Symposium on Parallel and Distributed Computing,X,X,C
43B946B8,SOUPS,Symposium On Usable Privacy and Security,C,3.0,B
442E19D7,RANLP,Recent Advances in Natural Language Processing,X,X,C
45F914AD,NAACL,North American Chapter of the Association for Computational Linguistics,C,8.0,A
4606A0B0,CDVE,"Cooperative Design, Visualization, and Engineering",X,X,C
46081467,ICON,International Conference on Networks,X,X,B
46F6F355,CBSE,Component-Based Software Engineering,X,X,B
4726E440,EDM,Educational Data Mining,X,X,B
474677D8,PARCO,Parallel Computing,X,X,C
479D4D98,CP,Principles and Practice of Constraint Programming,B,4.0,A
42D8A0F3,AIMSA,"Artificial Intelligence: Methodology, Systems, Applications",X,X,Unranked
432251B5,ICME,International Conference on Multimedia and Expo,B,7.0,B
43A193B2,CLUSTER,International Conference on Cluster Computing,C,1.0,A
44ACBCB7,ACML,Asian Conference on Machine Learning,X,X,Unranked
44C93DEC,ESA,European Symposium on Algorithms,C,6.0,A
454CC982,W2GIS,Web and Wireless Geographical Information Systems,X,X,C
45700DCB,P2P,International Conference on Peer-to-Peer Computing,C,2.0,C
4607C954,EC,Electronic Commerce,X,X,B
461F33EF,SEW,Annual Software Engineering Workshop,X,X,C
465D12F0,PPDP,Principles and Practice of Declarative Programming,X,X,B
46AD78C1,DCC,Data Compression Conference,B,7.0,A*
476F3906,CCS,Computer and Communications Security,A,3.0,A*
430122E0,PADL,Practical Aspects of Declarative Languages,X,X,B
433DE719,ICES,International Conference on Evolvable Systems,X,X,C
43B85068,CSCL,Computer Supported Collaborative Learning,X,X,A
43C1EF66,ICPADS,International Conference on Parallel and Distributed Systems,C,1.0,B
43E84C32,APLAS,Asian Symposium on Programming Languages and Systems,C,4.0,B
448D1E7E,ICDAR,International Conference on Document Analysis and Recognition,C,8.0,A
449397C9,ISMIS,International Syposium on Methodologies for Intelligent Systems,X,X,C
44B2697D,SARA,"Symposium on Abstraction, Reformulation and Approximation",X,X,B
44B92818,PKAW,Pacific Rim Knowledge Acquisition Workshop,X,X,B
451D2615,ESEM,Empirical Software Engineering and Measurement,C,4.0,A
45230F0A,PST,"Conference on Privacy, Security and Trust",X,X,C
4579FB5B,ITC,International Test Conference,C,1.0,B
45EB6430,LPNMR,Logic Programming and Non-Monotonic Reasoning,X,X,A
4634306E,ADHOC-NOW,"Ad-Hoc, Mobile and Wireless Networks",X,X,B
46AC2C9A,IFM,Integrated Formal Methods,X,X,B
47650C33,BROADNETS,"Broadband Communications, Networks and Systems",X,X,B
43CD4E8A,TCC,Theory of Cryptography Conference,B,3.0,A
43CDABDA,SAS,Static Analysis Symposium,B,4.0,A
44D822DB,WISM,Web Information Systems Modeling,X,X,C
44DF880B,MVA,Machine Vision Applications,X,X,C
459777C0,APSCC,Asia-Pacific Services Computing Conference,X,X,C
45B176DF,JCDL,ACM/IEEE Joint Conference on Digital Libraries,X,X,A*
46228D40,FMICS,Formal Methods for Industrial Critical Systems,X,X,C
46598FE3,NDSS,Network and Distributed System Security Symposium,B,3.0,A
465F7C62,ICML,International Conference on Machine Learning,A,8.0,A*
46CB61B2,RSP,Rapid System Prototyping,X,X,C
46E27806,ECSQARU,European Conference on Symbolic and Quantitative Approaches to Reasoning and Uncertainty,X,X,C
4783E335,SACI,Symposium on Applied Computational Intelligence and Informatics,X,X,C
47880EBE,ICSEA,International Conference on Software Engineering Advances,X,X,C
478BCB40,IWDW,International Workshop on Digital Watermarking,X,X,C
47C35ECC,ICMCS,International Conference on Multimedia Computing and Systems,X,X,A
4472F8CF,INFOVIS,IEEE Symposium on Information Visualization,X,X,A*
447A7E77,BIS,Business Information Systems,X,X,B
44AE44DD,CGI,Computer Graphics International,C,7.0,B
450B99F2,ANSS,Annual Simulation Symposium,X,X,C
453CB501,ICVS,International Conference on Computer Vision Systems,X,X,C
4569270C,HICSS,Hawaii International Conference on System Sciences,X,X,A
45E8D393,ICDCN,International Conference of Distributed Computing and Networking,X,X,B
460FDA1C,CATS,Computing: The Australasian Theory Symposium,X,X,Australasian
4627B282,MDAI,Modeling Decisions for Artificial Intelligence,X,X,B
463119A6,COLT,Computational Learning Theory,B,8.0,A*
464DFFCB,SCSC,Summer Computer Simulation Conference,X,X,B
468CDFB4,PSB,Pacific Symposium on Biocomputing,X,X,C
4786A6E3,ILP,Inductive Logic Programming,C,8.0,B
43C176E6,COMSWARE,COMmunication System softWAre and MiddlewaRE,X,X,C
446908FE,CoopIS,Cooperative Information Systems,C,9.0,A
44E12FD1,ISWC,International Semantic Web Conference,B,5.0,A
45F964A3,MobiQuitous,International Conference on Mobile and Ubiquitous Systems: Networking and Services,C,9.0,A
460A7036,SIGMOD,International Conference on Management of Data,A,5.0,A*
465DBAD1,VMCAI,"Verification, Model Checking and Abstract Interpretation",B,4.0,B
465F0C00,ICCM,International Conference on Cognitive Modelling,X,X,C
46BC0EDE,ICWE,International Conference on Web Engineering,C,4.0,B
4737FD14,ISPA,International Symposium on Parallel and Distributed Processing and Applications,X,X,B
474BD8D0,PDPTA,Parallel and Distributed Processing Techniques and Applications,X,X,B
478ED67F,RV,Runtime Verification,X,X,C
42CB1F93,ICMLC,International Conference on Machine Learning and Cybernetics,X,X,C
42D493FC,ICASSP,"International Conference on Acoustics, Speech, and Signal Processing",C,7.0,B
43226B44,HPCA,High-Performance Computer Architecture,A,1.0,A*
438B4414,DLS,Dynamic Languages Symposium,X,X,B
439BCE5E,RecSys,Conference on Recommender Systems,X,X,B
44902F2C,ITHET,Information Technology Based Higher Education and Training,X,X,C
44AB61E1,RTCSA,Embedded and Real-Time Computing Systems and Applications,X,X,B
45E5BC3F,CIS,Computational Intelligence and Security,X,X,C
45FFFB88,ICSE,International Conference on Software Engineering,A,4.0,A*
4668332C,BSN,Wearable and Implantable Body Sensor Networks,X,X,C
46E8C2CD,VECPAR,High Performance Computing for Computational Science (Vector and Parallel Processing),X,X,B
46F3B6B4,TARK,Theoretical Aspects of Rationality and Knowledge,X,X,A
47490CF4,CTS,Collaboration Technologies and Systems,X,X,C
436150FA,ICC,International Conference on Communications,C,2.0,B
43626F75,IVCNZ,Image and Vision Computing New Zealand,X,X,B
4372AEEF,SIGMETRICS,Measurement and Modeling of Computer Systems,B,1.0,A*
43E59455,HPCNCS,"High Performance Computing, Networking and Communication Systems",X,X,B
44788D44,IDEAL,Intelligent Data Engineering and Automated Learning,X,X,C
448ECA1D,FOCS,Foundations of Computer Science,A,6.0,A*
45BA2C87,PDCAT,Parallel and Distributed Computing: Applications and Technologies,X,X,B
46469614,FDG,Foundations of Digital Games,X,X,C
4686A887,ISSCC,International Solid-State Circuits Conference,X,X,A
46FFDB2C,AMAST,Algebraic Methodology and Software Technology,X,X,C
4769E092,RAID,Recent Advances in Intrusion Detection,B,3.0,A
477F6C83,FSE,Foundations of Software Engineering,B,3.0,B
477F6C83,FSE,Foundations of Software Engineering,A,4.0,B
4300B64E,Afrigraph,"Computer Graphics, Virtual Reality, Visualisation and Interaction in Africa",X,X,C
4307E237,WOSIS,Security in Information Systems,X,X,C
439F03CF,PACT,International Conference on Parallel Architectures and Compilation Techniques,B,1.0,A
44DA004E,KR,Principles of Knowledge Representation and Reasoning,B,8.0,A*
4515502B,ICPC,International Conference on Program Comprehension,B,4.0,C
454ED2F8,ICFP,International Conference on Functional Programming,B,4.0,A*
45610CDA,ICDE,International Conference on Data Engineering,A,5.0,A*
45827814,NPC,Network and Parallel Computing,C,1.0,C
